feature,importance_mean,importance_std
num__mileage_num,4633.051396952405,595.4250316379723
num__year_num,1260.78802016562,68.77506420691643
cat__transmission_automatic,582.0807552441511,194.19911951825807
cat__seller_urgency_high,448.24399832157144,232.30628174095807
cat__recent_repairs_none,315.84989343572124,243.14812882661974
cat__seller_urgency_medium,153.22647735755783,187.66334230495772
cat__condition_fair,76.61323867873179,153.22647735746267
cat__make_toyota,76.61323867873143,153.2264773574629
cat__model_Silverado 1500,76.61323867873034,153.22647735745613
cat__make_Lexus,76.61323867872962,153.22647735746287
cat__make_Mercedes-Benz,76.61323867872379,153.22647735746668
cat__seller_urgency_low,76.61323867872052,153.22647735746014
cat__model_accord,76.61323867872015,153.22647735746304
cat__make_honda,76.61323867872015,153.22647735746213
cat__transmission_manual,3.019522409886122e-10,5.039618391091548e-11
cat__recent_repairs_major,2.3537722881883384e-10,8.179063148513315e-11
cat__make_Chevrolet,2.0590960048139096e-10,1.2502902758709327e-10
cat__model_Bel Air,1.9172148313373328e-10,8.02007259519036e-12
cat__model_Chevelle SS,1.0186340659856796e-10,0.0
cat__model_Camaro,7.530616130679846e-11,1.4551915228366853e-12
cat__make_Ford,4.147295840084553e-11,1.7822383544867467e-12
cat__model_Mustang GT,3.8198777474462986e-11,0.0
cat__make_Nissan,5.093170329928398e-12,7.665697014346907e-12
cat__model_pick up,5.093170329928398e-12,6.548361852765084e-12
cat__make_subaru,5.093170329928398e-12,6.5483618527650835e-12
cat__model_Altima,4.365574568510055e-12,8.806614232096912e-12
cat__make_ford,4.0017766878008846e-12,7.221181746455552e-12
cat__make_TOYOTA,3.637978807091713e-12,7.366345646484327e-12
cat__model_X2,2.546585164964199e-12,1.4551915228366853e-12
cat__model_Optima,2.546585164964199e-12,1.4551915228366855e-12
cat__make_Ram,2.546585164964199e-12,1.4551915228366853e-12
cat__model_outback,1.8189894035458565e-12,0.0
cat__model_Sportage,1.8189894035458565e-12,0.0
cat__model_Econoline Cargo Van e-250,1.8189894035458565e-12,0.0
cat__model_Fusion,1.8189894035458565e-12,0.0
cat__model_Range Rover,1.8189894035458565e-12,0.0
cat__model_S-Class,1.8189894035458565e-12,0.0
cat__model_Grand Caravan,1.8189894035458565e-12,0.0
cat__model_Town & Country,1.8189894035458565e-12,0.0
cat__make_Jaguar,1.8189894035458565e-12,0.0
cat__model_MK V Drophead coupe,1.8189894035458565e-12,0.0
cat__model_LS 460,1.4551915228366853e-12,7.275957614183426e-13
cat__model_Passat SE,1.4551915228366853e-12,2.4131621396775883e-12
cat__make_nissan,1.4551915228366853e-12,7.275957614183427e-13
cat__make_Cadillac,1.4551915228366853e-12,2.121287941861847e-12
cat__model_S80 T6 Premier AWD Sedan,1.0913936421275138e-12,8.911191772433734e-13
cat__make_Fiat,1.0913936421275138e-12,1.4551915228366855e-12
cat__model_EX35,1.0913936421275138e-12,8.911191772433734e-13
cat__make_CHEVROLET,1.0913936421275138e-12,1.4551915228366853e-12
cat__model_500,1.0913936421275138e-12,1.4551915228366855e-12
cat__make_GMC,1.0913936421275138e-12,1.4551915228366853e-12
cat__make_Chevy,1.0913936421275138e-12,8.911191772433734e-13
cat__make_Infiniti,1.0913936421275138e-12,8.911191772433734e-13
cat__model_Rogue,1.0913936421275138e-12,1.4551915228366855e-12
cat__make_JEEP,1.0913936421275138e-12,1.1538760392543703e-11
cat__model_quest sl,1.0913936421275138e-12,8.911191772433734e-13
cat__model_CHEVELLE,1.0913936421275138e-12,1.4551915228366853e-12
cat__model_F-150,7.275957614183426e-13,8.911191772433734e-13
cat__model_Grand Cherokee Laredo,7.275957614183426e-13,8.911191772433734e-13
cat__make_Volvo,7.275957614183426e-13,1.455191522836685e-12
cat__model_Tundra,7.275957614183426e-13,8.911191772433734e-13
cat__make_Land Rover,7.275957614183426e-13,1.455191522836685e-12
cat__model_elantra,7.275957614183426e-13,8.911191772433734e-13
cat__model_Silverado,7.275957614183426e-13,8.911191772433734e-13
cat__model_Ranger,7.275957614183426e-13,1.455191522836685e-12
cat__model_X5,7.275957614183426e-13,8.911191772433734e-13
cat__make_hyundai,7.275957614183426e-13,8.911191772433734e-13
cat__make_ACURA,3.637978807091713e-13,7.275957614183427e-13
cat__make_chevrolet,3.637978807091713e-13,1.361207027648176e-12
cat__model_Mustang,3.637978807091713e-13,7.275957614183426e-13
cat__model_MDX SPORT,3.637978807091713e-13,7.275957614183427e-13
cat__model_CAMRY LE,3.637978807091713e-13,1.361207027648176e-12
cat__model_Fiesta S,3.637978807091713e-13,7.275957614183426e-13
cat__model_CIVIC LX,3.637978807091713e-13,7.275957614183426e-13
cat__model_CR-V LX,3.637978807091713e-13,1.361207027648176e-12
cat__model_LEGACY,3.637978807091713e-13,7.275957614183426e-13
cat__model_240,3.637978807091713e-13,7.275957614183426e-13
cat__model_Jetta Sedan,3.637978807091713e-13,7.275957614183426e-13
cat__model_Camry,3.637978807091713e-13,7.275957614183427e-13
cat__make_Mitsubishi,3.637978807091713e-13,7.275957614183426e-13
cat__make_SUBARU,3.637978807091713e-13,7.275957614183426e-13
